"DS_UF_SIGLA","SG_UF_NOT","CO_MUN_NOT"
"RO","11","110020"
"AC","12","120040"
"AM","13","130260"
"RR","14","140010"
"PA","15","150140"
"AP","16","160030"
"TO","17","172100"
"MA","21","211130"
"PI","22","221100"
"CE","23","230440"
"RN","24","240810"
"PB","25","250750"
"PE","26","261160"
"AL","27","270430"
"SE","28","280030"
"BA","29","292740"
"MG","31","310620"
"ES","32","320530"
"RJ","33","330455"
"SP","35","355030"
"PR","41","410690"
"SC","42","420540"
"RS","43","431490"
"MS","50","500270"
"MT","51","510340"
"GO","52","520870"
"DF","53","530010"
